Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,7729.439941,7766.859863,7719.970215,7748.310059,7748.310059,40366700
2017-08-02,7748.310059,7760.220215,7737.060059,7753.750000,7753.750000,41516600
2017-08-03,7753.750000,7763.669922,7742.620117,7746.120117,7746.120117,29516700
2017-08-06,7741.049805,7771.569824,7741.049805,7771.569824,7771.569824,32324900
2017-08-07,7771.569824,7782.720215,7746.850098,7782.720215,7782.720215,26750000
2017-08-08,7782.720215,7799.640137,7744.540039,7799.640137,7799.640137,42075900
2017-08-09,7799.640137,7807.660156,7786.069824,7789.709961,7789.709961,29291300
2017-08-10,7789.709961,7789.709961,7698.859863,7719.109863,7719.109863,31694800
2017-08-13,7713.660156,7762.759766,7713.660156,7761.939941,7761.939941,25047600
2017-08-14,7761.939941,7824.479980,7761.939941,7813.740234,7813.740234,33989900
2017-08-15,7813.740234,7853.939941,7812.120117,7853.339844,7853.339844,27301700
2017-08-16,7853.339844,7875.080078,7840.379883,7870.060059,7870.060059,31997700
2017-08-17,7870.060059,7873.549805,7821.689941,7873.549805,7873.549805,30210700
2017-08-20,7859.180176,7876.580078,7851.839844,7867.779785,7867.779785,21274700
2017-08-21,7868.490234,7889.220215,7865.240234,7867.080078,7867.080078,34730000
2017-08-22,7867.080078,7890.580078,7862.250000,7879.459961,7879.459961,40831400
2017-08-23,7879.459961,7886.430176,7862.790039,7868.410156,7868.410156,39202800
2017-08-24,7866.770020,7882.089844,7857.759766,7857.810059,7857.810059,37331500
2017-08-27,7858.589844,7879.709961,7823.439941,7826.870117,7826.870117,27799200
2017-08-28,7826.870117,7826.870117,7738.339844,7738.339844,7738.339844,48428800
2017-08-29,7747.990234,7791.419922,7742.740234,7775.200195,7775.200195,25318600
2017-08-30,7781.939941,7817.419922,7767.560059,7817.100098,7817.100098,37789000
2017-08-31,7817.450195,7828.240234,7805.629883,7821.979980,7821.979980,34629700
2017-09-03,7826.359863,7827.279785,7807.839844,7808.220215,7808.220215,28443900
2017-09-04,7808.220215,7808.220215,7773.770020,7777.399902,7777.399902,32788200
2017-09-05,7781.899902,7790.209961,7719.189941,7790.209961,7790.209961,37422200
2017-09-06,7791.060059,7817.589844,7777.149902,7804.259766,7804.259766,35595500
2017-09-07,7804.759766,7855.609863,7804.759766,7851.529785,7851.529785,22412600
2017-09-10,7851.529785,7865.049805,7829.529785,7851.750000,7851.750000,25818200
2017-09-11,7840.410156,7840.410156,7840.410156,7840.410156,7840.410156,0
2017-09-12,7847.680176,7855.390137,7821.209961,7827.430176,7827.430176,33071500
2017-09-13,7831.669922,7842.080078,7818.930176,7819.229980,7819.229980,30282700
2017-09-14,7819.229980,7821.189941,7732.740234,7762.660156,7762.660156,71159500
2017-09-17,7762.660156,7779.439941,7746.100098,7758.709961,7758.709961,27824800
2017-09-18,7758.709961,7771.509766,7752.140137,7764.529785,7764.529785,32531000
2017-09-20,7851.149902,7851.149902,7809.310059,7812.060059,7812.060059,0
