Count,Gender,Totwkfood,Occupation,Organic,Size,Mktspend,Stalls,Time,Visitfreq
433,0,100 ,4,0,1,45,3,79,3
434,0,85 ,4,0,1,25,4,20,2
435,0,75 ,4,0,1,30,4,15,3
436,1,170 ,4,0,1,50,3,90,3
437,1,145 ,0,0,2,20,3,47,2
438,0,235 ,2,0,1,75,3,35,3
439,1,73 ,5,0,1,17,4,25,0
440,1,175 ,5,0,3,40,1,65,1
441,1,85 ,5,0,1,22,4,25,2
442,1,205 ,2,0,2,60,4,52,1
443,0,275 ,2,1,4,92,2,60,1
444,1,305 ,2,0,6,72,1,68,1
445,0,325 ,0,0,6,60,1,60,1
446,0,285 ,3,1,4,25,3,70,0
447,1,300 ,3,1,4,65,1,80,0
448,1,125 ,2,1,1,55,1,72,0
449,0,375 ,1,1,6,95,2,78,0
450,0,365 ,2,0,3,25,1,15,1
451,0,415 ,0,1,5,20,1,26,1
452,1,205 ,2,0,2,35,1,13,2
453,1,375 ,0,1,6,22,1,29,2
454,1,385 ,3,1,4,26,1,45,1
455,1,115 ,4,1,1,15,1,30,3
456,0,300 ,3,1,3,40,1,45,3
457,1,425 ,1,1,6,35,1,50,2
458,0,575 ,0,1,5,34,3,20,0
459,0,300 ,0,0,2,28,2,38,2
460,1,375 ,4,0,2,22,1,25,1
461,0,345 ,1,0,4,37,2,18,3
462,1,425 ,3,1,5,39,1,35,0
463,1,160 ,5,0,1,18,1,15,1
464,1,375 ,2,1,6,58,1,15,2
465,0,275 ,2,0,5,22,1,18,1
466,1,395 ,0,1,6,25,3,10,3
467,1,270 ,1,1,4,39,1,21,2
468,1,275 ,0,0,3,27,1,19,1
469,0,485 ,3,0,6,28,2,35,0
470,0,300 ,5,0,2,38,1,17,3
471,0,425 ,4,1,4,23,3,40,2
472,1,175 ,5,1,1,18,1,18,2
473,0,575 ,2,0,5,35,2,40,3
474,1,300 ,3,0,3,19,1,13,2
475,0,500 ,0,0,5,29,1,45,0
476,1,260 ,5,0,2,24,1,17,2
477,1,325 ,0,0,6,35,1,19,3
478,0,475 ,2,0,4,22,1,28,1
479,0,155 ,4,1,1,20,1,22,2
480,0,300 ,5,1,3,29,2,25,0
481,1,395 ,2,1,6,28,2,35,2
482,1,370 ,2,1,5,26,1,12,1
483,1,170 ,2,1,2,28,1,19,3
484,0,255 ,2,0,2,32,1,17,1
485,0,345 ,2,1,4,46,1,28,1
486,1,375 ,1,0,5,19,1,36,2
487,1,115 ,0,1,1,22,1,15,2
488,1,475 ,2,0,6,68,1,40,2
489,0,445 ,2,1,5,14,3,15,2
490,1,375 ,0,1,6,48,1,29,0
491,1,450 ,2,0,4,38,3,17,3
492,0,395 ,2,1,3,28,1,18,3
493,0,600 ,2,0,6,75,1,45,1
494,0,220 ,4,1,2,16,1,22,3
495,0,310 ,3,0,4,37,1,21,2
496,1,175 ,4,1,1,28,1,24,0
497,1,380 ,2,0,5,17,1,26,0
498,0,390 ,1,1,6,38,1,27,1
499,0,305 ,2,0,2,42,1,50,2
500,1,345 ,1,1,4,50,1,28,1
