Meshblock,Year,Proprtion partnered,Proportion 1 or more children,Proportion with at least a bachelors degree,Median personal income 2001
MB 0150802,2001,0.666666667,NA,NA,35000
MB 0150900,2001,0.558823529,NA,NA,22500
MB 0151000,2001,0.571428571,NA,NA,13800
MB 0151101,2001,0.4,NA,NA,13300
MB 0151103,2001,0.6,NA,NA,15800
MB 0151104,2001,0.6,NA,NA,26700
MB 0151201,2001,0.777777778,NA,NA,29200
MB 0151202,2001,0.666666667,NA,NA,33000
MB 0151300,2001,0.588235294,NA,NA,23800
MB 0151400,2001,0.680851064,NA,NA,20200
MB 0151500,2001,0.651162791,NA,NA,24200
MB 0151601,2001,0.666666667,NA,NA,48300
MB 0151602,2001,0.636363636,NA,NA,14400
MB 0151603,2001,0.642857143,NA,NA,31300
MB 0151700,2001,0.612903226,NA,NA,25400
MB 0151800,2001,0.733333333,NA,NA,22500
MB 0151900,2001,0.666666667,NA,NA,20800
MB 0152000,2001,0.533333333,NA,NA,14000
MB 0152100,2001,0.648648649,NA,NA,26900
MB 0152200,2001,0.689655172,NA,NA,33300
MB 0152300,2001,0.666666667,NA,NA,10800
MB 0152400,2001,0.703703704,NA,NA,25800
MB 0152500,2001,0.636363636,NA,NA,27500
MB 0152600,2001,0.591836735,NA,NA,23800
MB 0152700,2001,0.7,NA,NA,30400
MB 0152800,2001,0.655172414,NA,NA,25800
MB 0152900,2001,0.623188406,NA,NA,17900
MB 0153000,2001,0.702702703,NA,NA,27500
MB 0153100,2001,0.625,NA,NA,23100
MB 0153200,2001,0.625,NA,NA,10800
MB 0153300,2001,0.791666667,NA,NA,35000
MB 0153400,2001,0.666666667,NA,NA,30400
MB 0153500,2001,0.697674419,NA,NA,26500
MB 0153600,2001,0.682926829,NA,NA,31700
MB 0153700,2001,0.58490566,NA,NA,21700
MB 0153800,2001,0.677419355,NA,NA,27500
MB 0153902,2001,0.5625,NA,NA,12500
MB 0153903,2001,0.615384615,NA,NA,20800
MB 0153904,2001,#VALUE!,NA,NA,..C
MB 0154001,2001,0.607142857,NA,NA,18800
MB 0154002,2001,0.653846154,NA,NA,21700
MB 0154100,2001,0.575,NA,NA,23100
MB 0154201,2001,0.692307692,NA,NA,27500
MB 0154202,2001,0.642857143,NA,NA,41700
MB 0154300,2001,0.75,NA,NA,33800
MB 0154400,2001,0.631578947,NA,NA,22500
MB 0154500,2001,0.725,NA,NA,25800
MB 0154600,2001,0.6,NA,NA,24200
MB 0154700,2001,0.632653061,NA,NA,25300
MB 0154800,2001,0.555555556,NA,NA,22500
MB 0154900,2001,0.740740741,NA,NA,23300
MB 0155000,2001,0.6875,NA,NA,26700
MB 0155100,2001,0.833333333,NA,NA,25800
MB 0155200,2001,0.696969697,NA,NA,23800
MB 0155300,2001,0.586206897,NA,NA,26700
MB 0155400,2001,0.611111111,NA,NA,22500
MB 0155500,2001,0.724137931,NA,NA,28800
MB 0155601,2001,0.666666667,NA,NA,17500
MB 0155602,2001,0.5625,NA,NA,17500
MB 0155604,2001,0.65,NA,NA,21300
MB 0155605,2001,0.75,NA,NA,37500
MB 0155701,2001,0.625,NA,NA,23300
MB 0155704,2001,0.666666667,NA,NA,25800
MB 0155705,2001,0.75,NA,NA,60000
MB 0155706,2001,0.526315789,NA,NA,15800
MB 0155707,2001,0.5,NA,NA,10800
MB 0155708,2001,0.727272727,NA,NA,25800
MB 0155709,2001,0.833333333,NA,NA,35000
MB 0155801,2001,0.608108108,NA,NA,19500
MB 0155802,2001,0.545454545,NA,NA,13300
MB 0155901,2001,0.636363636,NA,NA,26500
MB 0155902,2001,0.6,NA,NA,5800
MB 0156001,2001,0.857142857,NA,NA,20800
MB 0156002,2001,0.642857143,NA,NA,10800
MB 0156101,2001,0.65,NA,NA,15400
MB 0156102,2001,0.64516129,NA,NA,25800
MB 0156200,2001,0.586956522,NA,NA,22500
MB 0156301,2001,0.583333333,NA,NA,15800
MB 0156302,2001,0.775,NA,NA,19400
MB 0156303,2001,0.688311688,NA,NA,18500
MB 0156304,2001,0.613636364,NA,NA,20300
MB 0156401,2001,0.679245283,NA,NA,24200
MB 0156402,2001,0.666666667,NA,NA,12500
MB 0156403,2001,0.608695652,NA,NA,29200
MB 0156502,2001,0.578947368,NA,NA,19200
MB 0156503,2001,0.916666667,NA,NA,40800
MB 0156505,2001,0.75,NA,NA,23300
MB 0156506,2001,0.541666667,NA,NA,21700
MB 0156507,2001,0.642857143,NA,NA,28800
MB 0156601,2001,0.636363636,NA,NA,19000
MB 0156602,2001,0.736842105,NA,NA,30800
MB 0156701,2001,0.6,NA,NA,16300
MB 0156702,2001,0.846153846,NA,NA,27500
MB 0156800,2001,0.675675676,NA,NA,25800
MB 0156900,2001,0.588235294,NA,NA,19200
MB 0157000,2001,0.611111111,NA,NA,25800
MB 0157100,2001,0.619047619,NA,NA,25300
MB 0157201,2001,0.555555556,NA,NA,35000
MB 0157202,2001,0.692307692,NA,NA,27500
MB 0157203,2001,0.777777778,NA,NA,25300
MB 0157300,2001,0.647058824,NA,NA,24200
MB 0157400,2001,0.659574468,NA,NA,29400
MB 0157500,2001,0.638297872,NA,NA,25500
MB 0157600,2001,0.555555556,NA,NA,18300
MB 0157700,2001,0.6,NA,NA,23800
MB 0157800,2001,0.692307692,NA,NA,25800
MB 0157900,2001,0.516129032,NA,NA,15400
MB 0158000,2001,0.660377358,NA,NA,19000
MB 0158100,2001,0.638888889,NA,NA,20800
MB 0158200,2001,0.709090909,NA,NA,30600
MB 0158300,2001,0.7,NA,NA,25800
MB 0158400,2001,0.666666667,NA,NA,36000
MB 0158501,2001,0.444444444,NA,NA,15800
MB 0158502,2001,0.58974359,NA,NA,21900
MB 0158600,2001,0.523809524,NA,NA,18300
MB 0158701,2001,0.711538462,NA,NA,22900
MB 0158702,2001,0.595238095,NA,NA,18100
MB 0158705,2001,0.675,NA,NA,28300
MB 0158706,2001,0.657894737,NA,NA,26300
MB 0158707,2001,0.756756757,NA,NA,26900
MB 0158708,2001,0.652173913,NA,NA,35000
MB 0158801,2001,0.551724138,NA,NA,23600
MB 0158804,2001,0.59375,NA,NA,20300
MB 0158805,2001,0.551724138,NA,NA,13300
MB 0158806,2001,0.777777778,NA,NA,25800
MB 0158807,2001,0.5,NA,NA,13300
MB 0158808,2001,0.470588235,NA,NA,19400
MB 0158903,2001,0.682926829,NA,NA,23800
MB 0158904,2001,0.7,NA,NA,26300
MB 0158905,2001,0.636363636,NA,NA,27500
MB 0158906,2001,0.8,NA,NA,20300
MB 0158907,2001,0.625,NA,NA,33300
MB 0158908,2001,0.666666667,NA,NA,42500
MB 0158909,2001,0.8,NA,NA,27500
MB 0159002,2001,0.625,NA,NA,21800
MB 0159003,2001,0.68,NA,NA,22500
MB 0159004,2001,0.571428571,NA,NA,21500
MB 0159100,2001,0.666666667,NA,NA,30600
MB 0159201,2001,0.642857143,NA,NA,27500
MB 0159202,2001,0.583333333,NA,NA,15800
MB 0159203,2001,0.6,NA,NA,35000
MB 0159204,2001,0.6,NA,NA,17500
MB 0159205,2001,0.692307692,NA,NA,33300
MB 0159300,2001,0.586206897,NA,NA,30800
MB 0159400,2001,0.644444444,NA,NA,27500
MB 0159501,2001,0.642857143,NA,NA,17500
MB 0159502,2001,0.588235294,NA,NA,28300
MB 0159601,2001,0.571428571,NA,NA,16300
MB 0159602,2001,0.526315789,NA,NA,18800
MB 0159700,2001,0.677419355,NA,NA,32100
MB 0159801,2001,0.6875,NA,NA,25800
MB 0159802,2001,0.65,NA,NA,25400
MB 0159900,2001,0.541666667,NA,NA,23300
MB 0160000,2001,0.631578947,NA,NA,21700
MB 0160100,2001,0.5625,NA,NA,20800
MB 0160201,2001,0.6,NA,NA,17500
MB 0160202,2001,0.7,NA,NA,30600
MB 0160301,2001,0.5625,NA,NA,26300
MB 0160302,2001,0.571428571,NA,NA,25800
MB 0160401,2001,0.695652174,NA,NA,23300
MB 0160403,2001,0.666666667,NA,NA,30200
MB 0160404,2001,0.695652174,NA,NA,26300
MB 0160405,2001,0.777777778,NA,NA,33800
MB 0160500,2001,0.603448276,NA,NA,20800
MB 0160600,2001,0.637681159,NA,NA,25500
MB 0160700,2001,0.606060606,NA,NA,22500
MB 0160800,2001,0.666666667,NA,NA,25800
MB 0160900,2001,#VALUE!,NA,NA,..C
MB 0161000,2001,#VALUE!,NA,NA,..C
MB 0161100,2001,#VALUE!,NA,NA,..C
MB 0161200,2001,0.5,NA,NA,22900
MB 0161300,2001,0.46875,NA,NA,15600
MB 0161400,2001,0.333333333,NA,NA,15200
MB 0161500,2001,0.25,NA,NA,25800
MB 0161600,2001,0.52173913,NA,NA,17500
MB 0161701,2001,0.53125,NA,NA,22500
MB 0161702,2001,0.428571429,NA,NA,30800
MB 0161800,2001,0.666666667,NA,NA,20800
MB 0161900,2001,0.666666667,NA,NA,27500
MB 0162000,2001,0.654545455,NA,NA,20600
MB 0162100,2001,0.732142857,NA,NA,25300
MB 0162200,2001,0.463414634,NA,NA,14800
MB 0162300,2001,0.5,NA,NA,22500
MB 0162400,2001,0.5,NA,NA,25800
MB 0162501,2001,0.5,NA,NA,17900
MB 0162502,2001,0.653846154,NA,NA,23800
MB 0162600,2001,0.657894737,NA,NA,21700
MB 0162700,2001,0.648148148,NA,NA,24200
MB 0162800,2001,0.659090909,NA,NA,21400
MB 0162900,2001,0.736842105,NA,NA,23800
MB 0163000,2001,0.789473684,NA,NA,27500
MB 0163100,2001,0.745454545,NA,NA,21000
MB 0163200,2001,0.64,NA,NA,29200
MB 0163300,2001,0.607142857,NA,NA,15800
MB 0163400,2001,0.724137931,NA,NA,28300
MB 0163500,2001,0.425531915,NA,NA,14700
MB 0163600,2001,0.725,NA,NA,23100
MB 0163700,2001,0.625,NA,NA,21700
MB 0163800,2001,0.666666667,NA,NA,25400
MB 0163902,2001,0.727272727,NA,NA,22900
MB 0163903,2001,0.769230769,NA,NA,22500
MB 0163904,2001,0.727272727,NA,NA,25800
MB 0163905,2001,0.625,NA,NA,30600
MB 0164001,2001,0.6,NA,NA,22500
MB 0164002,2001,0.64,NA,NA,25800
MB 0164003,2001,0.666666667,NA,NA,30400
MB 0164101,2001,0.714285714,NA,NA,23100
MB 0164102,2001,0.677419355,NA,NA,25800
MB 0164201,2001,1,NA,NA,8800
MB 0164202,2001,0.774193548,NA,NA,30800
MB 0164203,2001,0.648648649,NA,NA,26300
MB 0164300,2001,0.571428571,NA,NA,22500
MB 0164400,2001,0.634146341,NA,NA,22100
MB 0164501,2001,0.666666667,NA,NA,26300
MB 0164502,2001,0.611111111,NA,NA,22500
MB 0164600,2001,0.677419355,NA,NA,23800
MB 0164700,2001,0.71875,NA,NA,21700
MB 0164800,2001,0.739130435,NA,NA,28300
MB 0164900,2001,0.66,NA,NA,20400
MB 0165000,2001,0.703703704,NA,NA,18800
MB 0165100,2001,0.625,NA,NA,16300
MB 0165200,2001,0.613636364,NA,NA,16900
MB 0165300,2001,0.533333333,NA,NA,26300
MB 0165400,2001,0.605263158,NA,NA,20200
MB 0165500,2001,0.676470588,NA,NA,23300
MB 0165602,2001,0.6,NA,NA,27800
MB 0165604,2001,0.620689655,NA,NA,22500
MB 0165605,2001,0.666666667,NA,NA,20800
MB 0165606,2001,0.8125,NA,NA,17500
MB 0165607,2001,0.677419355,NA,NA,21300
MB 0165608,2001,0.730769231,NA,NA,30600
MB 0165609,2001,0.625,NA,NA,27500
MB 0165700,2001,0.64516129,NA,NA,16900
